nuclides         air        ground       inhaled      thyroid     lamta(1/h)     Vg(m/s)
I-130(ele)     1.05E-13     2.14E-15     1.90E-09     7.14E-10     5.61E-02     0.01
I-131(ele)     1.85E-14     3.82E-16     2.00E-08     3.90E-07     3.59E-03     0.01
I-132(ele)     1.14E-13     2.29E-15     3.10E-10     3.60E-09     3.01E-01     0.01
I-133(ele)     3.00E-14     6.43E-16     4.00E-09     7.60E-08     3.33E-02     0.01
I-134(ele)     1.32E-13     2.63E-15     1.50E-10     7.00E-10     7.91E-01     0.01
I-135(ele)     8.09E-14     1.52E-15     9.20E-10     1.50E-08     1.05E-01     0.01
I-130(aer)     1.05E-13     2.14E-15     6.70E-10     7.14E-10     5.61E-02     1.5E-03
I-131(aer)     1.85E-14     3.82E-16     7.40E-09     1.50E-07     3.59E-03     1.5E-03
I-132(aer)     1.14E-13     2.29E-15     9.40E-11     1.40E-09     3.01E-01     1.5E-03   
I-133(aer)     3.00E-14     6.43E-16     1.50E-09     2.80E-08     3.33E-02     1.5E-03
I-134(aer)     1.32E-13     2.63E-15     4.50E-11     2.60E-10     7.91E-01     1.5E-03
I-135(aer)     8.09E-14     1.52E-15     3.20E-10     5.70E-09     1.05E-01     1.5E-03
I-130(org)     1.05E-13     2.14E-15     1.40E-09     7.14E-10     5.61E-02     1E-4
I-131(org)     1.85E-14     3.82E-16     1.50E-08     3.10E-07     3.59E-03     1E-4
I-132(org)     1.14E-13     2.29E-15     1.90E-10     3.20E-09     3.01E-01     1E-4
I-133(org)     3.00E-14     6.43E-16     3.10E-09     6.00E-08     3.33E-02     1E-4
I-134(org)     1.32E-13     2.63E-15     5.00E-11     7.00E-10     7.91E-01     1E-4                  
I-135(org)     8.09E-14     1.52E-15     6.80E-10     1.30E-08     1.05E-01     1E-4                       
Kr-83m         2.43E-18     5.09E-19     0.00E+00     0.00E+00     3.79E-01     0.00E+00                   
Kr-85m         6.83E-15     1.66E-16     0.00E+00     0.00E+00     1.55E-01     0.00E+00                  
Kr-85          2.55E-16     1.06E-17     0.00E+00     0.00E+00     7.38E-06     0.00E+00                  
Kr-87          3.94E-14     8.67E-16     0.00E+00     0.00E+00     5.45E-01     0.00E+00                  
Kr-88          9.72E-14     1.78E-15     0.00E+00     0.00E+00     2.44E-01     0.00E+00                  
Xe-131m        3.70E-16     2.10E-17     0.00E+00     0.00E+00     2.43E-03     0.00E+00                  
Xe-133m        1.27E-15     4.14E-17     0.00E+00     0.00E+00     1.32E-02     0.00E+00                  
Xe-133         1.39E-15     4.68E-17     0.00E+00     0.00E+00     5.51E-03     0.00E+00
Xe-135m        1.85E-14     4.38E-16     0.00E+00     0.00E+00     2.72E+00     0.00E+00
Xe-135         1.11E-14     2.63E-16     0.00E+00     0.00E+00     7.63E-02     0.00E+00
Xe-138         5.44E-14     1.16E-15     0.00E+00     0.00E+00     2.93E+00     0.00E+00
Cs-134         7.66E-14     1.54E-15     6.60E-09     6.30E-09     3.84E-05     1.5E-03
Cs-136         1.07E-13     2.12E-15     1.20E-09     1.00E-09     2.20E-03     1.5E-03
Cs-137         2.93E-14     6.06E-16     4.60E-09     4.40E-09     2.64E-06     1.5E-03
Cs-138         1.23E-13     2.34E-15     2.40E-11     3.57E-12     1.29E+00     1.5E-03
Rb-86          5.30E-15     1.70E-16     9.30E-10     1.33E-09     1.55E-03     1.5E-03
Te-127m        1.55E-16     1.18E-17     1.50E-09     2.80E-09     2.65E-04     1.5E-03
Te-127         3.56E-16     1.06E-17     3.90E-11     1.84E-12     7.41E-02     1.5E-03
Te-129m        1.70E-15     6.05E-17     1.30E-09     4.10E-09     8.60E-04     1.5E-03
Te-129         3.11E-15     1.18E-16     1.60E-11     1.56E-10     5.98E-01     1.5E-03
Te-131m        7.10E-14     1.39E-15     8.60E-10     1.30E-08     2.31E-02     1.5E-03  
Te-131         2.11E-14     4.94E-16     2.30E-11     2.66E-09     1.66E+00     1.5E-03  
Te-132         1.04E-14     2.31E-16     1.80E-09     2.50E-08     8.86E-03     1.5E-03
Te-134         4.30E-14     8.89E-16     4.70E-11     5.56E-10     9.96E-01     1.5E-03  
Sb-127         3.39E-14     7.05E-16     4.30E-10     8.00E-11     7.50E-03     1.5E-03
Sb-129         7.25E-14     1.43E-15     1.00E-10     9.72E-12     1.60E-01     1.5E-03
Ru-103         2.28E-14     4.69E-16     4.80E-10     3.30E-10     7.35E-04     1.5E-03
Ru-105         3.88E-14     8.14E-16     6.50E-11     4.15E-12     1.56E-01     1.5E-03
Ru-106         0.00E+00     0.00E+00     7.90E-09     7.10E-09     7.84E-05     1.5E-03
Rh-105         3.83E-15     7.80E-17     8.20E-11     2.88E-12     1.96E-02     1.5E-03
Mo-99          7.59E-15     1.85E-16     2.20E-10     8.40E-11     1.05E-02     1.5E-03
Tc-99m         5.96E-15     1.22E-16     1.20E-11     2.09E-11     1.15E-01     1.5E-03
Sr-89          4.46E-16     6.89E-17     1.00E-09     1.80E-10     5.72E-04     1.5E-03
Sr-90          9.95E-17     1.68E-18     2.40E-08     5.90E-10     2.72E-06     1.5E-03
Sr-91          3.53E-14     7.52E-16     1.60E-10     9.64E-12     7.30E-02     1.5E-03
Sr-92          6.88E-14     1.27E-15     9.80E-11     3.92E-12     2.56E-01     1.5E-03
Ba-139         2.79E-15     1.49E-16     3.40E-11     2.40E-12     5.02E-01     1.5E-03
Ba-140         8.83E-15     2.00E-16     1.00E-09     1.20E-10     2.27E-03     1.5E-03
Ce-141         3.53E-15     7.51E-17     9.30E-10     1.20E-10     8.89E-04     1.5E-03
Ce-143         1.33E-14     3.19E-16     2.70E-10     6.23E-12     2.10E-02     1.5E-03
Ce-144         8.82E-16     2.06E-17     4.00E-08     5.50E-09     1.02E-04     1.5E-03
Pu-238         5.29E-18     9.34E-19     4.60E-05     6.20E-06     9.02E-07     1.5E-03
Pu-239         4.43E-18     4.04E-19     5.00E-05     7.00E-06     3.29E-09     1.5E-03
Pu-240         5.14E-18     8.95E-19     5.00E-05     7.00E-06     1.21E-08     1.5E-03
Pu-241         7.37E-20     2.00E-21     9.00E-07     1.40E-07     5.50E-06     1.5E-03
Pu-242         4.01E-18     6.67E-19     4.80E-05     3.71E-10     2.10E-10     1.5E-03
Np-239         7.85E-15     1.66E-16     9.30E-10     2.30E-11     1.23E-02     1.5E-03
Y-90           8.14E-16     1.10E-16     1.40E-09     5.17E-13     1.08E-02     1.5E-03
Y-91           6.45E-16     7.49E-17     7.10E-09     8.50E-12     4.94E-04     1.5E-03
Y-92           1.41E-14     3.92E-16     1.70E-10     1.05E-12     1.96E-02     1.5E-03
Y-93           5.65E-15     2.14E-16     4.00E-10     9.26E-13     6.86E-02     1.5E-03
Nb-95          3.78E-14     7.57E-16     5.70E-10     2.80E-10     8.22E-04     1.5E-03
Zr-95          3.65E-14     7.32E-16     2.50E-09     9.90E-10     4.51E-04     1.5E-03
Zr-97          9.58E-15     2.57E-16     3.90E-10     2.31E-11     4.10E-02     1.5E-03
La-140         1.19E-13     2.24E-15     5.70E-10     6.87E-11     1.72E-02     1.5E-03
La-141         3.05E-15     1.53E-16     6.30E-11     2.45E-12     1.76E-01     1.5E-03
La-142         1.46E-13     2.58E-15     5.20E-11     4.91E-12     4.50E-01     1.5E-03
Pr-143         1.97E-16     2.07E-17     2.20E-09     1.68E-18     2.63E-03     1.5E-03
Pr-144         2.79E-15     1.65E-16     1.80E-11     8.47E-15     2.41E+00     1.5E-03
Nd-147         6.39E-15     1.50E-16     2.10E-09     1.82E-11     2.13E-03     1.5E-03
Am-241         8.31E-16     2.83E-17     4.20E-05     7.40E-06     1.83E-07     1.5E-03
Am-242m        3.17E-17     3.02E-18     3.70E-05     5.64E-10     5.21E-07     1.5E-03
Am-243         2.18E-15     5.35E-17     4.10E-05     8.29E-09     1.07E-08     1.5E-03
Cm-242         6.12E-18     1.05E-18     5.20E-06     1.10E-07     1.77E-04     1.5E-03
Cm-243         5.88E-15     1.25E-16     3.10E-05     3.83E-09     2.78E-06     1.5E-03
Cm-244         4.40E-17     9.65E-19     2.70E-05     3.30E-06     4.37E-06     1.5E-03
