nuclides      air         ground      inhaled    thyroid    lamta(1/h)    Vg(m/s)
Ac-223      3.73E-16    8.09E-18    0.00E+00    0.00E+00    1.89E+01    1.50E-03
Ac-224      9.05E-15    1.90E-16    2.97E-08    2.68E-12    2.39E-01    1.50E-03
Ac-225      2.18E-15    4.56E-17    2.19E-06    2.64E-11    2.89E-03    1.50E-03
Ac-226      6.33E-15    1.30E-16    3.08E-07    1.01E-11    2.39E-02    1.50E-03
Ac-227      3.74E-17    9.37E-19    3.49E-04    6.49E-09    3.63E-06    1.50E-03
Ac-228      4.78E-14    9.28E-16    3.39E-08    7.79E-12    1.13E-01    1.50E-03
Ag-102      1.67E-13    3.18E-15    7.82E-12    7.43E-13    3.22E+00    1.50E-03
Ag-103      3.68E-14    7.41E-16    1.39E-11    8.88E-13    6.33E-01    1.50E-03
Ag-104      1.32E-13    2.58E-15    1.36E-11    3.36E-12    6.01E-01    1.50E-03
Ag-104m     5.82E-14    1.12E-15    1.39E-11    1.21E-12    1.24E+00    1.50E-03
Ag-105      2.45E-14    5.11E-16    1.21E-09    2.39E-10    7.04E-04    1.50E-03
Ag-106      3.39E-14    7.04E-16    7.71E-12    3.25E-13    1.74E+00    1.50E-03
Ag-106m     1.38E-13    2.72E-15    1.49E-09    3.27E-10    3.43E-03    1.50E-03
Ag-108      9.28E-16    1.99E-17    0.00E+00    0.00E+00    1.75E+01    1.50E-03
Ag-108m     7.81E-14    1.60E-15    7.66E-08    2.01E-08    6.23E-07    1.50E-03
Ag-109m     1.92E-16    9.71E-18    0.00E+00    0.00E+00    6.30E+01    1.50E-03
Ag-110      1.78E-15    3.82E-17    0.00E+00    0.00E+00    1.01E+02    1.50E-03
Ag-110m     1.36E-13    2.65E-15    2.17E-08    6.39E-09    1.16E-04    1.50E-03
Ag-111      1.29E-15    2.67E-17    1.66E-09    6.19E-12    3.88E-03    1.50E-03
Ag-112      3.34E-14    6.33E-16    1.79E-10    2.14E-12    2.22E-01    1.50E-03
Ag-115      3.61E-14    6.61E-16    1.90E-11    3.10E-13    2.08E+00    1.50E-03
Al-26       1.36E-13    2.49E-15    2.15E-08    1.44E-08    1.11E-10    1.50E-03
Al-28       9.28E-14    1.62E-15    0.00E+00    0.00E+00    1.86E+01    1.50E-03
Am-237      1.70E-14    3.54E-16    6.47E-12    5.77E-13    5.70E-01    1.50E-03
Am-238      4.33E-14    8.50E-16    2.32E-10    1.80E-12    4.24E-01    1.50E-03
Am-239      1.04E-14    2.22E-16    1.24E-10    2.87E-12    5.82E-02    1.50E-03
Am-240      5.00E-14    9.84E-16    4.96E-10    4.24E-11    1.36E-02    1.50E-03
Am-241      8.18E-16    2.75E-17    1.20E-04    1.60E-09    1.83E-07    1.50E-03
Am-242      6.15E-16    1.57E-17    1.58E-08    2.52E-12    4.33E-02    1.50E-03
Am-242m     3.17E-17    3.02E-18    1.15E-04    5.64E-10    5.21E-07    1.50E-03
Am-243      2.18E-15    5.35E-17    1.19E-04    8.29E-09    1.07E-08    1.50E-03
Am-244      3.85E-14    7.79E-16    4.47E-09    9.67E-12    6.86E-02    1.50E-03
Am-244m     6.13E-17    2.61E-18    1.90E-10    1.13E-13    1.60E+00    1.50E-03
Am-245      1.46E-15    3.10E-17    2.18E-11    3.01E-13    3.38E-01    1.50E-03
Am-246      3.28E-14    6.74E-16    1.71E-11    7.75E-13    1.07E+00    1.50E-03
Am-246m     5.03E-14    9.75E-16    9.02E-12    6.38E-13    1.66E+00    1.50E-03
Ar-37       1.27E-19    0.00E+00    0.00E+00    0.00E+00    8.25E-04    0.00E+00
Ar-39       9.10E-18    3.38E-19    0.00E+00    0.00E+00    2.94E-07    0.00E+00
Ar-41       6.50E-14    1.20E-15    0.00E+00    0.00E+00    3.79E-01    0.00E+00
As-69       4.89E-14    1.01E-15    1.32E-11    7.47E-13    2.74E+00    1.50E-03
As-70       2.04E-13    3.90E-15    3.42E-11    4.70E-12    7.91E-01    1.50E-03
As-71       2.74E-14    5.56E-16    3.44E-10    4.44E-11    1.07E-02    1.50E-03
As-72       8.78E-14    1.75E-15    1.10E-09    8.85E-11    2.67E-02    1.50E-03
As-73       1.90E-16    5.95E-18    9.34E-10    2.74E-11    3.60E-04    1.50E-03
As-74       3.65E-14    7.47E-16    2.15E-09    2.55E-10    1.63E-03    1.50E-03
As-76       2.13E-14    4.24E-16    1.01E-09    4.80E-11    2.63E-02    1.50E-03
As-77       4.31E-16    8.95E-18    2.85E-10    1.11E-11    1.79E-02    1.50E-03
As-78       6.32E-14    1.20E-15    7.22E-11    3.70E-12    4.59E-01    1.50E-03
At-207      6.52E-14    1.26E-15    6.11E-10    1.00E-10    3.85E-01    1.50E-03
At-211      1.81E-15    4.06E-17    2.22E-08    5.08E-09    9.61E-02    1.50E-03
At-215      9.22E-18    1.91E-19    0.00E+00    0.00E+00    4.16E+02    1.50E-03
At-216      6.24E-17    1.41E-18    0.00E+00    0.00E+00    1.39E+02    1.50E-03
At-217      1.48E-17    3.03E-19    0.00E+00    0.00E+00    7.73E+04    1.50E-03
At-218      1.19E-16    4.18E-18    0.00E+00    0.00E+00    1.25E+03    1.50E-03
Au-193      6.83E-15    1.53E-16    7.82E-11    2.37E-12    3.93E-02    1.50E-03
Au-194      5.29E-14    1.00E-15    2.76E-10    2.88E-11    1.75E-02    1.50E-03
Au-195      3.21E-15    7.84E-17    3.50E-09    1.08E-10    1.58E-04    1.50E-03
Au-195m     9.37E-15    1.93E-16    0.00E+00    0.00E+00    8.18E+01    1.50E-03
Au-198      1.94E-14    4.01E-16    8.87E-10    2.37E-11    1.07E-02    1.50E-03
Au-198m     2.66E-14    5.53E-16    1.31E-09    3.99E-11    1.26E-02    1.50E-03
Au-199      4.08E-15    8.45E-17    4.05E-10    6.47E-12    9.20E-03    1.50E-03
Au-200      1.37E-14    2.63E-16    2.13E-11    2.42E-13    8.59E-01    1.50E-03
Au-200m     1.03E-13    2.09E-15    5.97E-10    3.76E-11    3.71E-02    1.50E-03
Au-201      2.57E-15    5.33E-17    6.40E-12    3.69E-14    1.58E+00    1.50E-03
Ba-126      5.94E-14    1.25E-15    9.92E-11    7.59E-12    4.31E-01    1.50E-03
Ba-128      4.61E-14    9.70E-16    8.20E-10    8.95E-11    1.19E-02    1.50E-03
Ba-131      2.10E-14    4.52E-16    1.81E-10    4.62E-11    2.45E-03    1.50E-03
Ba-131m     3.04E-15    7.46E-17    1.25E-12    9.71E-14    2.85E+00    1.50E-03
Ba-133      1.78E-14    3.97E-16    2.11E-09    9.99E-10    7.37E-06    1.50E-03
Ba-133m     2.62E-15    6.59E-17    1.68E-10    1.33E-11    1.78E-02    1.50E-03
Ba-135m     2.32E-15    6.00E-17    1.36E-10    9.93E-12    2.42E-02    1.50E-03
Ba-137m     2.88E-14    5.86E-16    0.00E+00    0.00E+00    1.63E+01    1.50E-03
Ba-139      2.17E-15    4.59E-17    4.64E-11    2.40E-12    5.03E-01    1.50E-03
Ba-140      8.58E-15    1.80E-16    1.01E-09    2.56E-10    2.27E-03    1.50E-03
Ba-141      4.16E-14    8.15E-16    2.18E-11    1.33E-12    2.28E+00    1.50E-03
Ba-142      5.15E-14    1.01E-15    1.11E-11    1.27E-12    3.92E+00    1.50E-03
Be-10       1.12E-17    4.12E-19    9.58E-08    2.56E-10    4.95E-11    1.50E-03
Be-7        2.36E-15    4.89E-17    8.67E-11    3.10E-11    5.42E-04    1.50E-03
Bi-200      1.16E-13    2.32E-15    1.62E-11    2.27E-12    1.14E+00    1.50E-03
Bi-201      6.51E-14    1.29E-15    4.28E-11    4.04E-12    3.85E-01    1.50E-03
Bi-202      1.33E-13    2.61E-15    2.20E-11    4.99E-12    4.15E-01    1.50E-03
Bi-203      1.20E-13    2.23E-15    2.24E-10    2.46E-11    5.89E-02    1.50E-03
Bi-205      8.49E-14    1.58E-15    1.17E-09    2.41E-10    1.89E-03    1.50E-03
Bi-206      1.61E-13    3.14E-15    1.77E-09    2.68E-10    4.63E-03    1.50E-03
Bi-207      7.54E-14    1.48E-15    5.41E-09    1.08E-09    2.08E-06    1.50E-03
Bi-210      3.29E-17    1.05E-18    5.29E-08    6.47E-11    5.76E-03    1.50E-03
Bi-210m     1.23E-14    2.52E-16    2.05E-06    3.16E-09    2.64E-11    1.50E-03
Bi-211      2.22E-15    4.58E-17    0.00E+00    0.00E+00    1.94E+01    1.50E-03
Bi-212      7.28E-14    1.25E-15    5.17E-09    4.75E-11    6.87E-01    1.50E-03
Bi-213      8.59E-15    1.73E-16    4.16E-09    3.80E-11    9.11E-01    1.50E-03
Bi-214      7.65E-14    1.41E-15    1.68E-09    1.54E-11    2.09E+00    1.50E-03
Bk-245      1.04E-14    2.20E-16    1.19E-09    1.75E-11    5.85E-03    1.50E-03
Bk-246      4.59E-14    9.15E-16    4.63E-10    3.47E-11    1.58E-02    1.50E-03
Bk-247      4.71E-15    1.01E-16    1.55E-04    4.60E-09    5.73E-08    1.50E-03
Bk-249      8.21E-20    6.85E-21    3.75E-07    4.18E-11    9.03E-05    1.50E-03
Bk-250      4.38E-14    8.51E-16    2.04E-09    4.17E-12    2.15E-01    1.50E-03
Br-74       2.38E-13    4.04E-15    2.33E-11    3.95E-12    1.64E+00    1.50E-03
Br-74m      2.08E-13    3.79E-15    4.43E-11    7.64E-12    1.00E+00    1.50E-03
Br-75       5.84E-14    1.20E-15    3.54E-11    7.42E-12    4.24E-01    1.50E-03
Br-76       1.34E-13    2.44E-15    3.36E-10    1.57E-10    4.28E-02    1.50E-03
Br-77       1.51E-14    3.09E-16    5.75E-11    4.20E-11    1.24E-02    1.50E-03
Br-80       3.85E-15    7.89E-17    7.62E-12    4.19E-13    2.39E+00    1.50E-03
Br-80m      4.16E-15    9.59E-17    9.98E-11    1.85E-11    1.57E-01    1.50E-03
Br-82       1.30E-13    2.55E-15    3.31E-10    2.38E-10    1.96E-02    1.50E-03
Br-83       3.82E-16    8.13E-18    2.33E-11    3.29E-12    2.90E-01    1.50E-03
Br-84       9.41E-14    1.60E-15    2.61E-11    3.12E-12    1.31E+00    1.50E-03
C-11        4.89E-14    1.01E-15    3.29E-12    2.97E-12    2.04E+00    1.50E-03
C-14        2.24E-19    1.61E-20    5.64E-10    5.64E-10    1.38E-08    1.50E-03
Ca-41       0.00E+00    0.00E+00    3.64E-10    2.57E-12    5.65E-10    1.50E-03
Ca-45       8.63E-19    4.61E-20    1.79E-09    4.49E-11    1.77E-04    1.50E-03
Ca-47       5.36E-14    1.00E-15    1.77E-09    1.47E-10    6.38E-03    1.50E-03
Ca-49       1.73E-13    2.63E-15    0.00E+00    0.00E+00    4.77E+00    1.50E-03
Cd-104      1.14E-14    2.50E-16    1.50E-11    2.98E-12    7.21E-01    1.50E-03
Cd-107      6.02E-16    2.98E-17    2.94E-11    1.21E-13    1.07E-01    1.50E-03
Cd-109      2.94E-16    2.25E-17    1.22E-08    2.40E-10    6.22E-05    1.50E-03
Cd-113      1.45E-18    6.99E-20    1.06E-07    5.73E-09    8.51E-21    1.50E-03
Cd-113m     6.94E-18    2.63E-19    1.08E-07    4.72E-09    5.82E-06    1.50E-03
Cd-115      1.12E-14    2.31E-16    1.14E-09    1.71E-11    1.30E-02    1.50E-03
Cd-115m     1.17E-15    2.34E-17    1.16E-08    1.05E-10    6.48E-04    1.50E-03
Cd-117      5.45E-14    1.03E-15    1.14E-10    3.61E-12    2.78E-01    1.50E-03
Cd-117m     1.05E-13    1.88E-15    1.05E-10    8.57E-12    2.06E-01    1.50E-03
Ce-134      3.40E-14    7.21E-16    2.21E-09    3.32E-11    9.63E-03    1.50E-03
Ce-135      8.54E-14    1.75E-15    4.29E-10    2.62E-11    3.94E-02    1.50E-03
Ce-137      8.81E-16    3.65E-17    1.13E-11    1.32E-13    7.70E-02    1.50E-03
Ce-137m     1.96E-15    5.31E-17    3.82E-10    1.29E-12    2.01E-02    1.50E-03
Ce-139      6.73E-15    1.56E-16    2.45E-09    1.66E-10    2.10E-04    1.50E-03
Ce-141      3.43E-15    7.38E-17    2.42E-09    2.55E-11    8.89E-04    1.50E-03
Ce-143      1.29E-14    2.79E-16    9.16E-10    6.23E-12    2.10E-02    1.50E-03
Ce-144      2.77E-15    5.77E-17    1.01E-07    2.92E-10    1.02E-04    1.50E-03
Cf-244      6.91E-18    1.14E-18    2.64E-09    1.20E-12    2.14E+00    1.50E-03
Cf-246      5.48E-18    7.88E-19    1.62E-07    3.50E-11    1.94E-02    1.50E-03
Cf-248      4.73E-18    7.74E-19    1.37E-05    1.40E-10    8.66E-05    1.50E-03
Cf-249      1.58E-14    3.28E-16    1.03E-04    1.08E-08    2.26E-07    1.50E-03
Cf-250      4.50E-18    7.37E-19    5.57E-05    2.28E-09    6.05E-06    1.50E-03
Cf-251      5.58E-15    1.22E-16    1.05E-04    3.76E-09    8.81E-08    1.50E-03
Cf-252      5.06E-18    7.22E-19    4.24E-05    3.20E-08    3.00E-05    1.50E-03
